id,current_name,detected_language,name_en,name_bn,current_slug,bmdc_number,needs_review
98b9c5bb-3652-4e20-9c2f-a5afb5da0851,ডাঃ ফারহানা মোছলেহ উদ্দিন,bn,Farhana Mosleh Uddin,ফারহানা মোছলেহ উদ্দিন,ড-ফরহন-মছলহ-উদদন,,
fa4bca65-ea30-4fe0-aa83-1016b44ea193,ডাঃ ফারুক আহমেদ,bn,Faruque Ahmed,ফারুক আহমেদ,ড-ফরক-আহমদ,,
d3451206-482d-4127-8c07-665e66161d51,ডা: ফাহিম চৌধুরী (সনি),bn,Fahim Chowdhury (Sony),ফাহিম চৌধুরী (সনি),ড-ফহম-চধর-সন-94c907,,
ff6c5458-7dbd-40bc-85d8-aca1f77fc2fc,ডাঃ ফাহিম চৌধুরী (সনি),bn,Fahim Chowdhury (Sony),ফাহিম চৌধুরী (সনি),ড-ফহম-চধর-সন,,
c3b96f00-2e31-4dd8-8005-74aa9a0c9610,ডা: ফেরদৌসী বেগম,bn,Ferdousi Begum,ফেরদৌসী বেগম,ড-ফরদস-বগম,,
ed80ab00-8e65-4a8b-965d-d058b325c0d2,ডা. বিকাশ চন্দ্র পাল,bn,Bikash Chandra Paul,বিকাশ চন্দ্র পাল,ড-বকশ-চনদর-পল,,
c78bf1d7-89b4-4f85-8a29-10475733fb55,ডা. বিনয় কৃষ্ণ তরফদার,bn,Binoy Krishna Tarafder,বিনয় কৃষ্ণ তরফদার,ড-বনয়-কষণ-তরফদর,,
473a083b-b776-4882-93e6-b90137856ef5,ডাঃ বিপুল কুমার দাস,bn,Bipul Kumar Das,বিপুল কুমার দাস,ড-বপল-কমর-দস,,
602e067d-db56-4306-adb6-1bd0c86a6d4e,ডা: বেনজীর হক (পান্না),bn,Benazir Haque (Panna),বেনজীর হক (পান্না),ড-বনজর-হক-পনন,,
24870430-8413-40be-9b17-dedf900dbeca,ডাঃ বেনজীর হক (পান্না),bn,Benazir Haque (Panna),বেনজীর হক (পান্না),ড-বনজর-হক-পনন-37df07,,
db242f5d-bf41-405d-acae-df1bea4f4d33,ডা: মঞ্জুমান আরা সরকার,bn,Manjuman Ara Sarker,মঞ্জুমান আরা সরকার,ড-মঞজমন-আর-সরকর,,
d418a39c-0859-4434-9801-df34fe5ef398,ডা. মধুসূদন পাল,bn,Madhusudan Paul,মধুসূদন পাল,ড-মধসদন-পল,,
9e2c6e58-c6b0-4051-b2f1-cba9bcc516ff,ডা: মনজুর আহমদ,bn,Manzur Ahmad,মনজুর আহমদ,ড-মনজর-আহমদ,,
4a112da6-b193-4b5b-bace-52668f8fcb8f,ডা. মমতাজ জাহান মিতু,bn,Momtaz Jahan Mitu,মমতাজ জাহান মিতু,ড-মমতজ-জহন-মত,,
0d242cda-afa6-43bc-8475-e9bb7a8d03b3,ডা. মাকসুদা ফরিদা আক্তার মিল্লা,bn,Maksuda Farida Akter Milla,মাকসুদা ফরিদা আক্তার মিল্লা,ড-মকসদ-ফরদ-আকতর-মলল,,
69ec56be-4b26-46f3-92c9-517b90060a04,ডা: মাফরুহা আক্তার (রুমানা),bn,Mafruha Akter (Rumana),মাফরুহা আক্তার (রুমানা),ড-মফরহ-আকতর-রমন,,
4f0d0851-cbcd-46fb-83c2-b921be7f7208,ডাঃ মারওয়া কাশেম মুনা,bn,Marwa Kashem Muna,মারওয়া কাশেম মুনা,ড-মরওয-কশম-মন,,
18204495-4f64-4096-b428-4014066b9540,ডা. মারুফা ইয়াছমিন,bn,Marufa Yasmin,মারুফা ইয়াছমিন,ড-মরফ-ইয়ছমন,,
ac172795-b72c-4d86-9e55-749303421c52,ডা: মালেকা আলী,bn,Maleka Ali,মালেকা আলী,ড-মলক-আল,,
92ce0b0b-4fc8-4b4f-a1f9-8627f43db1c5,ডাঃ মালেকা আলী,bn,Maleka Ali,মালেকা আলী,ড-মলক-আল-0b0d6d,,
681f1fa6-0ac9-48f6-8fc6-8404efeaa334,ডাঃ মাহফুজা আক্তার,bn,Mahfuza Akter,মাহফুজা আক্তার,ড-মহফজ-আকতর,,
dbd4c064-17ec-4c24-9a28-42a401d70089,ডাঃ মাহবুব ময়ুখ রিশাদ,bn,Mahbub Mayukh Rishad,মাহবুব ময়ুখ রিশাদ,ড-মহবব-মযখ-রশদ,,
9b2875ca-8877-4355-a9bc-2f181bab9e92,ডা. মাহবুবুল হাকিম মিঞু,bn,Mahbubul Hakim Miah,মাহবুবুল হাকিম মিঞু,ড-মহববল-হকম-মঞ,,
